,K,NDTR,hit_rate
460,30,3900,0.4685714285714286
461,30,3950,0.4614285714285714
462,35,150,0.49857142857142855
463,35,200,0.48857142857142855
464,35,250,0.49142857142857144
465,35,300,0.5028571428571429
466,35,350,0.49142857142857144
467,35,400,0.48857142857142855
468,35,450,0.6085714285714285
469,35,500,0.49
470,35,550,0.48714285714285716
471,35,600,0.4928571428571429
472,35,650,0.4928571428571429
473,35,700,0.49
474,35,750,0.4942857142857143
475,35,800,0.49
476,35,850,0.48714285714285716
477,35,900,0.5128571428571429
478,35,950,0.49857142857142855
479,35,1000,0.4957142857142857
480,35,1050,0.4942857142857143
481,35,1100,0.5085714285714286
482,35,1150,0.5014285714285714
483,35,1200,0.5
484,35,1250,0.49714285714285716
485,35,1300,0.5028571428571429
486,35,1350,0.4957142857142857
487,35,1400,0.49714285714285716
488,35,1450,0.5057142857142857
489,35,1500,0.51
490,35,1550,0.4957142857142857
491,35,1600,0.4957142857142857
492,35,1650,0.5171428571428571
493,35,1700,0.52
494,35,1750,0.5128571428571429
495,35,1800,0.5128571428571429
496,35,1850,0.5242857142857142
497,35,1900,0.5228571428571429
498,35,1950,0.51
499,35,2000,0.48428571428571426
500,35,2050,0.4942857142857143
501,35,2100,0.47285714285714286
502,35,2150,0.5028571428571429
503,35,2200,0.5028571428571429
504,35,2250,0.5028571428571429
505,35,2300,0.5142857142857142
506,35,2350,0.5185714285714286
507,35,2400,0.5171428571428571
508,35,2450,0.5157142857142857
509,35,2500,0.51
510,35,2550,0.48142857142857143
511,35,2600,0.49142857142857144
512,35,2650,0.5057142857142857
513,35,2700,0.5
514,35,2750,0.4957142857142857
515,35,2800,0.49714285714285716
516,35,2850,0.49
517,35,2900,0.49
518,35,2950,0.49714285714285716
519,35,3000,0.48857142857142855
520,35,3050,0.4857142857142857
521,35,3100,0.49
522,35,3150,0.48714285714285716
523,35,3200,0.49714285714285716
524,35,3250,0.4942857142857143
525,35,3300,0.49714285714285716
526,35,3350,0.4928571428571429
527,35,3400,0.4957142857142857
528,35,3450,0.4942857142857143
529,35,3500,0.49857142857142855
530,35,3550,0.5042857142857143
531,35,3600,0.4757142857142857
532,35,3650,0.44857142857142857
533,35,3700,0.49142857142857144
534,35,3750,0.5085714285714286
535,35,3800,0.5185714285714286
536,35,3850,0.5242857142857142
537,35,3900,0.47
538,35,3950,0.4614285714285714
539,40,150,0.5014285714285714
540,40,200,0.48857142857142855
541,40,250,0.4928571428571429
542,40,300,0.5
543,40,350,0.48857142857142855
544,40,400,0.49
545,40,450,0.4928571428571429
546,40,500,0.49142857142857144
547,40,550,0.4857142857142857
548,40,600,0.4942857142857143
549,40,650,0.4928571428571429
550,40,700,0.4928571428571429
551,40,750,0.4957142857142857
552,40,800,0.4928571428571429
553,40,850,0.4857142857142857
554,40,900,0.48714285714285716
555,40,950,0.49857142857142855
556,40,1000,0.4928571428571429
557,40,1050,0.4942857142857143
558,40,1100,0.5071428571428571
559,40,1150,0.5
560,40,1200,0.49857142857142855
561,40,1250,0.5014285714285714
562,40,1300,0.5014285714285714
563,40,1350,0.49714285714285716
564,40,1400,0.4942857142857143
565,40,1450,0.5428571428571428
566,40,1500,0.5142857142857142
567,40,1550,0.5014285714285714
568,40,1600,0.5085714285714286
569,40,1650,0.5157142857142857
570,40,1700,0.5185714285714286
571,40,1750,0.5142857142857142
572,40,1800,0.5142857142857142
573,40,1850,0.5242857142857142
574,40,1900,0.5214285714285715
575,40,1950,0.4857142857142857
576,40,2000,0.4857142857142857
577,40,2050,0.49
578,40,2100,0.49857142857142855
579,40,2150,0.5071428571428571
580,40,2200,0.5057142857142857
581,40,2250,0.5057142857142857
582,40,2300,0.5114285714285715
583,40,2350,0.5185714285714286
584,40,2400,0.5185714285714286
585,40,2450,0.5157142857142857
586,40,2500,0.5114285714285715
587,40,2550,0.51
588,40,2600,0.5042857142857143
589,40,2650,0.5
590,40,2700,0.4957142857142857
591,40,2750,0.49714285714285716
592,40,2800,0.4928571428571429
593,40,2850,0.4828571428571429
594,40,2900,0.4857142857142857
595,40,2950,0.48714285714285716
596,40,3000,0.4928571428571429
597,40,3050,0.48428571428571426
598,40,3100,0.48857142857142855
599,40,3150,0.4857142857142857
600,40,3200,0.4942857142857143
601,40,3250,0.4942857142857143
602,40,3300,0.5
603,40,3350,0.49142857142857144
604,40,3400,0.4957142857142857
605,40,3450,0.4942857142857143
606,40,3500,0.5014285714285714
607,40,3550,0.5042857142857143
608,40,3600,0.5128571428571429
609,40,3650,0.51
610,40,3700,0.5142857142857142
611,40,3750,0.52
612,40,3800,0.5214285714285715
613,40,3850,0.5285714285714286
614,40,3900,0.5228571428571429
615,40,3950,0.5357142857142857
616,45,150,0.4828571428571429
617,45,200,0.49142857142857144
