,K,NDTR,ret
570,40,1700,0.0
571,40,1750,0.0
572,40,1800,0.0
573,40,1850,0.0
574,40,1900,0.0
575,40,1950,8.563276420336519e-07
576,40,2000,4.487364766855134e-06
577,40,2050,-7.601837726648789e-07
578,40,2100,1.8702171361160533e-06
579,40,2150,1.6596575905559835e-05
580,40,2200,-1.3833916954260004e-06
581,40,2250,-4.7379638764873877e-07
582,40,2300,-2.1384030425575538e-07
583,40,2350,-4.969455672602339e-06
584,40,2400,2.210025183633619e-06
585,40,2450,-1.6708848069767773e-06
586,40,2500,-4.737675777681356e-05
587,40,2550,-5.939012837529646e-05
588,40,2600,-5.9235869421565955e-05
589,40,2650,-7.215638719745383e-05
590,40,2700,-8.337762083072919e-05
591,40,2750,-6.773238476653005e-05
592,40,2800,-7.168038007300943e-05
593,40,2850,-9.184242781425884e-05
594,40,2900,-6.351385914210764e-05
595,40,2950,-6.371952441449606e-05
596,40,3000,-5.080547746474813e-05
597,40,3050,-4.357105313820992e-05
598,40,3100,-3.716753973311826e-05
599,40,3150,-4.309674644961981e-05
600,40,3200,1.7433265875572596e-05
601,40,3250,1.791644764921441e-05
602,40,3300,2.9858760912517556e-05
603,40,3350,2.5823984350144774e-05
604,40,3400,4.538560822312559e-05
605,40,3450,3.285127549079473e-05
606,40,3500,4.892112229356334e-05
607,40,3550,4.091218167246622e-05
608,40,3600,4.090603552463746e-05
609,40,3650,6.533805155062772e-05
610,40,3700,0.00011359186997135368
611,40,3750,0.00011655815212102326
612,40,3800,0.00012982034549220418
613,40,3850,0.00013838897210645968
614,40,3900,9.612485465981166e-05
615,40,3950,0.00014422820401321817
616,45,150,-0.00029219382446065003
617,45,200,-0.00026778294777320626
618,45,250,-3.2502951822809012e-06
619,45,300,1.1102750628991501e-05
620,45,350,-7.900248776041738e-06
621,45,400,3.232921026117805e-06
622,45,450,2.5261199565914325e-06
623,45,500,1.5243185703196394e-05
624,45,550,7.050350432327779e-06
625,45,600,-6.067640591307506e-07
