,ret_first_second,pair
148,3.4470588235294115,LINABUSD
149,0.1367521367521366,AKROBUSD
150,0.6491807990801953,AUCTIONBUSD
151,0.5862553652755,AUTOUSDT
152,0.33067198935462416,ANYBUSD
153,0.9324430479183032,BARUSDT
154,0.6470588235294118,RAMPUSDT
155,0.21266968325791866,JOEUSDT
156,0.18125552608311218,FIDAUSDT
157,0.0706866705135602,FTMBUSD
158,0.12146529562982006,SNMBUSD
159,0.033243486073674805,STMXBUSD
160,0.36814184001116856,TORNBUSD
161,0.7910447761194028,RAMPBUSD
162,0.3139204545454547,BICOBUSD
163,0.3315579227696405,ANYUSDT
164,3.0,LITBUSD
165,4.0,TLMBUSD
166,0.5980113636363635,OMBUSD
167,0.3548120611317638,CVPUSDT
168,0.0,1INCHUPUSDT
169,0.22884012539184953,ELFBUSD
