,K,NDTR,ret
690,45,3850,0.0
691,45,3900,0.0
692,45,3950,0.0
693,50,150,-1.5428337323657077e-05
694,50,200,-1.1462767443847117e-05
695,50,250,-3.292373232477363e-06
696,50,300,1.3407930691988856e-05
697,50,350,-8.042879371273766e-06
698,50,400,-7.888374938006725e-07
699,50,450,5.421702718095739e-07
700,50,500,2.4718931135797585e-05
701,50,550,-9.228245453651343e-06
702,50,600,-5.782705635909832e-07
703,50,650,-3.840833459604204e-06
704,50,700,2.7933869618389995e-06
705,50,750,1.1347550240499552e-05
706,50,800,9.98655918507182e-06
707,50,850,-1.5163256101979669e-05
708,50,900,-1.971865744089439e-05
709,50,950,-0.0004150748267406008
710,50,1000,-2.7218997048643496e-05
711,50,1050,0.0
712,50,1100,0.0
713,50,1150,-2.463012081063157e-05
714,50,1200,-4.0127582452332286e-05
715,50,1250,-7.4188179446147205e-06
716,50,1300,-1.4772703241963892e-05
717,50,1350,0.0
718,50,1400,0.0
719,50,1450,0.0
720,50,1500,0.0
721,50,1550,0.0
722,50,1600,0.0
723,50,1650,0.0
724,50,1700,0.0
725,50,1750,0.0
726,50,1800,0.0
727,50,1850,0.0
728,50,1900,0.0
729,50,1950,0.0
730,50,2000,0.0
731,50,2050,0.0
732,50,2100,0.0
733,50,2150,0.0
734,50,2200,0.0
735,50,2250,0.0
736,50,2300,0.0
737,50,2350,0.0
738,50,2400,0.0
739,50,2450,0.0
740,50,2500,0.0
741,50,2550,0.0
742,50,2600,0.0
743,50,2650,0.0
744,50,2700,0.0
745,50,2750,0.0
746,50,2800,0.0
747,50,2850,0.0
748,50,2900,0.0
749,50,2950,0.0
750,50,3000,0.0
751,50,3050,0.0
752,50,3100,0.0
753,50,3150,0.0
754,50,3200,0.0
755,50,3250,0.0
756,50,3300,0.0
757,50,3350,0.0
758,50,3400,0.0
759,50,3450,0.0
760,50,3500,0.0
761,50,3550,0.0
762,50,3600,0.0
763,50,3650,0.0
764,50,3700,0.0
765,50,3750,0.0
766,50,3800,0.0
767,50,3850,0.0
768,50,3900,0.0
769,50,3950,0.0
770,55,150,-1.8605799609579235e-05
771,55,200,-1.461483144200774e-05
772,55,250,-8.004611774524795e-06
773,55,300,1.088446649459816e-05
774,55,350,-4.213483176740001e-06
775,55,400,7.654627372975405e-06
776,55,450,9.144320347404032e-06
777,55,500,2.5454168774338737e-05
778,55,550,-9.906687687693479e-06
779,55,600,3.6237607206572685e-06
780,55,650,-1.1473645497044969e-05
781,55,700,6.874946082012724e-06
782,55,750,1.8633481191337003e-05
783,55,800,4.0174192403542565e-06
784,55,850,-1.6563990034535036e-05
785,55,900,-1.8024584904318873e-05
786,55,950,-8.914045005038246e-06
787,55,1000,-2.516456263618089e-05
788,55,1050,0.0
789,55,1100,-2.7524912046746516e-05
790,55,1150,0.0005518831996010307
791,55,1200,5.0920025973033844e-05
792,55,1250,2.4780593199117367e-05
793,55,1300,0.0
794,55,1350,-7.831236543861738e-06
795,55,1400,-1.1524766631849003e-05
796,55,1450,0.0
797,55,1500,0.0
798,55,1550,0.0
799,55,1600,0.0
800,55,1650,0.0
801,55,1700,0.0
802,55,1750,0.0
803,55,1800,0.0
804,55,1850,0.0
805,55,1900,0.0
806,55,1950,0.0
807,55,2000,0.0
808,55,2050,0.0
809,55,2100,0.0
810,55,2150,0.0
811,55,2200,0.0
812,55,2250,0.0
813,55,2300,0.0
814,55,2350,0.0
815,55,2400,0.0
816,55,2450,0.0
817,55,2500,0.0
818,55,2550,0.0
819,55,2600,0.0
820,55,2650,0.0
821,55,2700,0.0
822,55,2750,0.0
823,55,2800,0.0
824,55,2850,0.0
825,55,2900,0.0
826,55,2950,0.0
827,55,3000,0.0
828,55,3050,0.0
829,55,3100,0.0
830,55,3150,0.0
831,55,3200,0.0
832,55,3250,0.0
833,55,3300,0.0
834,55,3350,0.0
835,55,3400,0.0
836,55,3450,0.0
837,55,3500,0.0
838,55,3550,0.0
839,55,3600,0.0
840,55,3650,0.0
841,55,3700,0.0
842,55,3750,0.0
843,55,3800,0.0
844,55,3850,0.0
845,55,3900,0.0
846,55,3950,0.0
847,60,150,-1.678404841171958e-05
848,60,200,-1.421607240184189e-05
849,60,250,-7.01197405013385e-06
850,60,300,7.454095434212249e-06
851,60,350,-5.098018665966511e-06
852,60,400,7.039084232089333e-06
853,60,450,1.16674874013243e-05
854,60,500,1.967644705757331e-05
855,60,550,-1.2137544154129372e-05
856,60,600,2.8790982613345937e-06
857,60,650,-5.317163579949011e-06
858,60,700,3.1760144394962454e-06
859,60,750,1.7991197372819363e-05
860,60,800,5.643589001557276e-06
861,60,850,-2.0948560846873714e-05
862,60,900,-1.7942188898282306e-05
863,60,950,-1.1632482389657563e-05
864,60,1000,0.0
865,60,1050,-0.00014792791843456165
866,60,1100,0.0
867,60,1150,0.0
868,60,1200,0.0
869,60,1250,0.0
870,60,1300,0.0
871,60,1350,0.0
872,60,1400,-8.480115364779641e-06
873,60,1450,0.0
874,60,1500,0.0
875,60,1550,0.0
876,60,1600,0.0
877,60,1650,0.0
878,60,1700,0.0
879,60,1750,0.0
880,60,1800,0.0
881,60,1850,0.0
882,60,1900,0.0
883,60,1950,0.0
884,60,2000,0.0
885,60,2050,0.0
886,60,2100,0.0
887,60,2150,0.0
888,60,2200,0.0
889,60,2250,0.0
890,60,2300,0.0
891,60,2350,0.0
892,60,2400,0.0
893,60,2450,0.0
894,60,2500,0.0
895,60,2550,0.0
896,60,2600,0.0
897,60,2650,0.0
